timestamp,stage,slide_number,slide_text,slide_image,repeat_number
1732468307.1136672,concentration,,,,0
1732468307.6142788,image,0.0,فوق,up.webp,0
1732468308.6269493,action,,,,0
1732468311.1272848,relax,,,,0
1732468312.1282275,rest,,,,0
1732468313.1285706,concentration,,,,0
1732468313.6290412,image,1.0,تحت,down.webp,0
1732468314.640451,action,,,,0
1732468317.1409967,relax,,,,0
1732468318.141703,rest,,,,0
1732468319.141969,concentration,,,,0
1732468319.642657,image,2.0,اختيار,select.webp,0
1732468320.6543984,action,,,,0
1732468323.1550593,relax,,,,0
1732468324.155878,rest,,,,0
1732468325.156197,concentration,,,,0
1732468325.6567206,image,3.0,إلغاء,cancel.webp,0
1732468326.6667318,action,,,,0
1732468329.1672525,relax,,,,0
1732468330.1679177,rest,,,,0
